"Item #","Designator","Qty","Manufacturer","Mfg Part #","Description/Value","Package/Footprint","Type","Notes"
"1","C11,C12,C14","3","ANY","ANY (within parameters)","33pF Capacitor Ceramic (X0G/NP0)  Signal shift capacitor","0603 (imperial)","",""
"2","C1,C2,C3,C4,C5,C6,C8,C9,C10,C13,C15,C16,C18,C19","14","ANY","ANY (within parameters)","10nF Capacitor Ceramic (X7R) Decoupling Capacitor","0603 (imperial)","",""
"3","C17","1","ANY","ANY (within parameters)","100nF Capacitor Ceramic (X7R) Decoupling Capacitor","0603 (imperial)","",""
"4","C7","1","Kemet","T495A226K010ATE1K2","22uF Capacitor Tantalum (10%) Filtering Capacitor","1206 (imperial)","",""
"5","R1","1","ANY","ANY (within parameters)","1k Resistor (5%)","0603 (imperial)","",""
"6","D1","1","Vishay","BAT54W-HG3-18","Schottky diode","SOD-123","",""
"7","J1","1","JST","S9B-ZR-SM4A-TF","CONN HEADER SMD R/A 9POS 1.5MM","JST_S9B-ZR-SM4A-TF_1x09_P1.50mm_Horizontal (modified)","","Dual purpose footprint: Supports S9B-ZR-SM4A-TF OR B9B-ZR-SM4-TF."
"8","U1","1","OnSemi","NCP718ASN300T1G","3V0 LDO voltage regulator","SOT-23-5","",""
"9","U2","1","Diodes Incorporated","74LVC1G06SE-7","Signal inverter","SC-88A-5 ","",""
"10","U3","1","Infineon Technologies","FM28V100-TG","1Mbit (128k x 8) FRAM","TSOP-I-32 (12.4x8mm)","",""
"11","U4","1","Nintendo","MAC-GBD","Nintendo Mapper (EOL)","TQFP-100 (14x14mm)","","No replacement available, can not be automatically assembled. Up to end user to populate with old stock chip."
"12","U5","1","AMD","AM29F080B0-70EF/AM29F016D-70EF","NOR Flash Memory (1M x 8)/(2M x 8) EOL","TSOP-I-40 (18.4x10mm)/TSOP-I-48 (18.4x12mm)","","No replacement available, can not be automatically assembled. Up to end user to populate with old stock chip."